L	0.312243	0.58034	0	0.49361	0	0.287757	0.0196602	5.19994	0	0
L	0.312243	0.58034	0	0.49361	0	0.287757	0.0196602	5.19994	0	0
L	0.312243	0.58034	0	0.49361	0	0.287757	0.0196602	5.19994	0	0
R	0.404724	0.346128	5.17195	0.49361	4.29301e-17	0.38084	0.180083	3.7051	1.7315	30.8839
L	1.14569	0.493669	5.16826	0.332732	-0.0149926	0.311308	0.159389	3.03065	1.71539	0.754818
R	1.27611	0.522206	5.19601	0.323329	-0.0136463	0.274555	0.143496	2.62815	1.69689	1.83337
L	1.56188	0.609616	5.21647	0.266802	-0.0288698	0.248036	0.1284	2.35187	1.63463	0.695222
R	1.81555	0.568	5.4216	0.033015	-0.0824219	0.229024	0.118054	2.14885	1.4935	1.56259
L	2.1168	0.600688	5.44075	0.0504594	-0.0450744	0.212655	0.109305	1.99146	1.3856	0.494669
R	2.33829	0.640164	5.29521	0.0894149	-0.0358927	0.200984	0.102944	1.86305	1.3047	2.32155
L	2.61301	0.663942	5.30838	0.0837854	-0.0457877	0.190774	0.0987601	1.75679	1.23657	0.104785
R	2.88258	0.657065	5.32876	0.0415424	-0.18274	0.181863	0.0947326	1.66715	1.17396	0.128359
L	3.11843	0.659176	5.29932	0.0307448	-0.194087	0.17508	0.0912036	1.58988	1.11949	0.659905
R	3.40789	0.554171	5.37238	-0.129587	-0.684801	0.168256	0.0895327	1.52271	1.09719	1.91003
L	3.71376	0.442537	5.45157	-0.261541	-0.976197	0.161658	0.100388	1.46314	1.13835	2.96211
R	3.99368	0.532754	5.44886	-0.10342	-0.375762	0.155841	0.100645	1.41131	1.11393	3.8302
L	4.27009	0.527309	5.44413	-0.0967896	-0.310648	0.150809	0.101905	1.36482	1.09183	0.256398
R	4.52955	0.567302	5.35785	-0.0499646	-0.166808	0.146269	0.101103	1.32217	1.064	1.37613
L	4.71731	0.68216	5.18858	0.0625988	0.094718	0.142187	0.0981537	1.2827	1.03242	10.5644
R	4.96928	0.681571	5.11414	0.0523685	0.0664095	0.138567	0.0953892	1.24665	1.00333	1.62579
L	5.27229	0.673447	5.18805	0.0352441	0.0276816	0.134871	0.0929674	1.21341	0.976971	3.29173
R	5.53209	0.679565	5.2487	0.0353962	0.0252488	0.131457	0.0908736	1.18282	0.952841	1.67911
L	5.8295	0.691784	5.3003	0.0369332	0.0257767	0.128604	0.0890364	1.15471	0.930682	1.97102
R	6.07249	0.617034	5.19838	-0.0211861	-0.0718995	0.125772	0.0913377	1.1282	0.916016	3.85794
L	6.32795	0.731134	5.18436	0.0554361	0.0535251	0.123111	0.0896802	1.10341	0.89651	3.27577
R	6.5779	0.764473	5.13925	0.070112	0.0715018	0.120567	0.0879785	1.08018	0.878024	0.374882
L	6.82668	0.759717	5.12948	0.0597934	0.0515617	0.118144	0.0869852	1.05836	0.861445	0.24139
R	7.06875	0.744024	5.01464	0.043732	0.0253572	0.115855	0.0875903	1.03807	0.847565	2.72459
L	7.28729	0.826704	4.96981	0.0872162	0.0822557	0.113999	0.0864618	1.01917	0.832485	2.38079
R	7.58268	0.838681	5.13756	0.0838584	0.0722256	0.111948	0.0858927	1.00081	0.818681	4.96925
L	7.83539	0.814126	5.13058	0.0624919	0.0404164	0.110007	0.0876698	0.983409	0.80773	0.641106
R	8.08407	0.83278	5.04478	0.0656341	0.0413134	0.108183	0.0902227	0.966932	0.798043	2.31374
L	8.32199	0.847927	5.02492	0.0674054	0.0410396	0.106552	0.0938731	0.951278	0.789676	0.290498
R	8.59296	0.937089	5.17346	0.105521	0.0853615	0.104895	0.0949195	0.936402	0.7793	6.68245
L	8.83234	0.993667	5.15025	0.124756	0.103408	0.103388	0.0954489	0.92216	0.768928	0.60115
R	9.12318	1.03304	5.21819	0.131526	0.104973	0.101881	0.0962253	0.908793	0.759165	6.84333
